EnsemblID,Gene
ENSG00000183696,UPP1
ENSG00000198336,MYL4
ENSG00000071054,MAP4K4
ENSG00000099860,GADD45B
ENSG00000153827,TRIP12
ENSG00000134371,CDC73
ENSG00000124181,PLCG1
ENSG00000189136,UBE2Q2P1
ENSG00000260017,AC138811.1
ENSG00000106348,IMPDH1
ENSG00000249072,AC114801.3
ENSG00000156136,DCK
ENSG00000101558,VAPA
ENSG00000169045,HNRNPH1
ENSG00000111642,CHD4
ENSG00000225697,SLC26A6
ENSG00000083312,TNPO1
ENSG00000133742,CA1
ENSG00000118503,TNFAIP3
ENSG00000158578,ALAS2
ENSG00000012822,CALCOCO1
ENSG00000142192,APP
